explicacion,categoria
"Es un jugador clave en la estrategia del equipo.",Rendimiento_Positivo
"No genera espacios para sus compañeros con sus movimientos.",Razón_Ofensiva
"Un mal despeje que se convierte en asistencia para el rival.",Errores_Clave
"Rompe la línea defensiva saliendo a presionar sin coordinación.",Razón_Defensiva
"Aporta experiencia y liderazgo en momentos críticos.",Rendimiento_Positivo
"Incapaz de retener el balón de espaldas a la portería.",Razón_Ofensiva
"Error no forzado que regala un saque de banda en ataque.",Errores_Clave
"No cierra el espacio entre el central y el lateral.",Razón_Defensiva
"Juega fácil y a pocos toques, dando fluidez al juego.",Rendimiento_Positivo
"Centros imprecisos que no llegan a buen puerto.",Razón_Ofensiva
"Pérdida de balón por exceso de confianza.",Errores_Clave
"Permite remates fáciles desde el borde del área.",Razón_Defensiva
"Su rendimiento es consistente y fiable.",Rendimiento_Positivo
"No tiene último pase.",Razón_Ofensiva
"Un mal control de pecho que le regala el balón al oponente.",Errores_Clave
"No es solidario en el esfuerzo defensivo.",Razón_Defensiva
"Crea juego y distribuye con inteligencia.",Rendimiento_Positivo
"Se precipita en la toma de decisiones ofensivas.",Razón_Ofensiva
"Pase comprometido a un compañero que estaba presionado.",Errores_Clave
"No sabe leer los movimientos del delantero.",Razón_Defensiva
"Aporta mucho trabajo silencioso en el mediocampo.",Rendimiento_Positivo
"No tiene gol, falla ocasiones claras.",Razón_Ofensiva
"Pérdida ingenua que genera una oportunidad de gol para el rival.",Errores_Clave
"No vuelve a su posición tras un ataque.",Razón_Defensiva
